ID;Prioridade;Num.Recup.;Cliente;Designação;Abertura;CF Exec.;Resp.;Técnico;Cluster;Cidade;Region;Type
42;400;REC-180103/2026;TERMOPERNAMBU;IPJ SUP/RCE 0L3/DP*V/0001;26/03/2026 05:56;RT/RCE /NE /NET/FO;E;;NORDESTE;RECIFE;RECIFE;Retirada (RT)
43;380;REC-180142/2026;NACIONALGAS;BLM/IP/10950;26/03/2026 06:55;RT/BLM /NO /NET/FO;E;;NORTE;BELEM;BELEM;Retirada (RT)
44;360;REC-180196/2026;KONECTA BRAZ;SDR/IP/34160;26/03/2026 07:37;RT/SDR /BA /JL /FO;E;;BAHIA/SERGIPE;SALVADOR;SALVADOR;Retirada (RT)
45;360;REC-180159/2026;MUNDIAL SUP;RJO/IP/28844;26/03/2026 07:06;RT/RJO /CZS/NET/FO;E;;RIO DE JANEIRO;NORTE 3;NORTE 3;Retirada (RT)
46;360;REC-180150/2026;PARDINI 5424;RJO/IP/40044;26/03/2026 06:59;RT/RJO /NO3/PCS/FO;E;F101976;RIO DE JANEIRO;NORTE 3;NORTE 3;Retirada (RT)
47;340;REC-180315/2026;BCO BRASIL;PKS/IP/00115;26/03/2026 08:38;DP/CPE /CO /NET/FO;E;;CENTRO OESTE;DESPACHO (DP);DESPACHO (DP);Despacho (DP)
48;340;REC-180094/2026;DASA_1;RCE/IP/20708;26/03/2026 05:51;RC/RCE /NE /NET/BS;E;;NORDESTE;RECIFE;RECIFE;Recuperação (RC)
49;340;REC-180042/2026;DROGASIL;RCE/IP/20244;26/03/2026 04:30;RC/RCE /NE /NET/BS;E;;NORDESTE;RECIFE;RECIFE;Recuperação (RC)
50;310;REC-180247/2026;VITALMED;7122028600;26/03/2026 08:12;RT/SDR /BA /JL /FO;E;;BAHIA/SERGIPE;SALVADOR;SALVADOR;Retirada (RT)
51;300;REC-180392/2026;GRUPO MOTECH;MNS/IP/07377;26/03/2026 08:59;RT/MNS /NO /NET/FO;E;;NORTE;MANAUS;MANAUS;Retirada (RT)
52;280;REC-180195/2026;DROGASIL;RCE/IP/20287;26/03/2026 07:36;RC/RCE /NE /NET/BS;E;;NORDESTE;RECIFE;RECIFE;Recuperação (RC)
53;280;REC-180089/2026;DASA_1;RCE/IP/20475;26/03/2026 05:44;RC/RCE /NE /NET/BS;E;;NORDESTE;RECIFE;RECIFE;Recuperação (RC)
54;260;REC-180387/2026;GRANELEIRO;CBA/IP/04515;26/03/2026 08:57;DP/CBA /CO /NET/FO;E;;CENTRO OESTE;DESPACHO (DP);DESPACHO (DP);Despacho (DP)
55;260;REC-180376/2026;TALKD;RJO/IP/43522;26/03/2026 08:56;RC/RJO /NO2/NET/FO;E;;RIO DE JANEIRO;NORTE 2;NORTE 2;Recuperação (RC)
56;260;REC-180346/2026;ANDORINHA TRA;CPE/IP/02409;26/03/2026 08:48;RC/CPE /CO /NET/BS;E;;CENTRO OESTE;CAMPO GRANDE;CAMPO GRANDE;Recuperação (RC)
57;260;REC-180320/2026;VITALMED;SDR/IP/20874;26/03/2026 08:40;RT/SDR /BA /JL /FO;E;;BAHIA/SERGIPE;SALVADOR;SALVADOR;Retirada (RT)
58;260;REC-180262/2026;BCMB;CEM/IP/05420;26/03/2026 08:18;RT/BHE /ES /FFA/FO;E;;MINAS GERAIS;BELO HORIZONTE;BELO HORIZONTE;Retirada (RT)
59;260;REC-180192/2026;CENCOSUD;SDR/IP/33525;26/03/2026 07:32;RT/SDR /BA /JL /FO;E;;BAHIA/SERGIPE;SALVADOR;SALVADOR;Retirada (RT)
60;220;REC-180431/2026;PARAMOTOS INDUSTRIA;AFN/IP/00695;26/03/2026 09:11;RT/VGA /TG /FFA/FO;E;;MINAS GERAIS;VARGINHA;VARGINHA;Retrada (RT)
61;220;REC-180372/2026;ATACADAO;AIU/IP/02312;26/03/2026 08:54;RT/BLM /NO /NET/FO;E;;NORTE;BELEM;BELEM;Retirada (RT)
62;220;REC-180368/2026;C MARINHA;PWM/IP/00812;26/03/2026 08:53;RT/NTL /NE /NET/FO;E;;NORDESTE;NATAL;NATAL;Retirada (RT)
63;220;REC-180253/2026;TEC BANCARIA;RJO/IP/78826;26/03/2026 08:15;RT/RJO /NO2/NET/FO;E;;RIO DE JANEIRO;NORTE 2;NORTE 2;Retirada (RT)
64;180;REC-180474/2026;ECT;VFR/IP/00104;26/03/2026 09:28;RT/SLS /CE /NET/FO;E;;NORTE;SÃO LUIS;SÃO LUIS;Retirada (RT)
65;140;REC-180531/2026;TELMEX BRASIL;SDR/IP/33175;26/03/2026 09:46;RT/SDR /BA /JL /FO;E;;BAHIA/SERGIPE;SALVADOR;SALVADOR;Retirada (RT)
66;140;REC-180515/2026;SED MS;CPE/IP/04979;26/03/2026 09:41;DP/CPE /CO /NET/FO;E;;CENTRO OESTE;DESPACHO (DP);DESPACHO (DP);Despacho (DP)
67;140;REC-180510/2026;AGRO AMAZONIA;CPE/IP/04369;26/03/2026 09:40;DP/CPE /CO /NET/FO;E;;CENTRO OESTE;DESPACHO (DP);DESPACHO (DP);Despacho (DP)
68;140;REC-180487/2026;TELMEX BRASIL;SDR/IP/32768;26/03/2026 09:33;RT/SDR /BA /JL /FO;E;;BAHIA/SERGIPE;SALVADOR;SALVADOR;Retirada (RT)
69;140;REC-180439/2026;TELMEX BRASIL;136/411101281;26/03/2026 09:14;RC/RCE /NE /NET/BS;E;;NORDESTE;RECIFE;RECIFE;Recuperação (RC)
70;120;REC-180425/2026;OI S A.;OUI/IP/00115;26/03/2026 09:10;RT/RCE /NE /NET/FO;E;;NORDESTE;RECIFE;RECIFE;Retirada (RT)
71;80;REC-180560/2026;TELMEX BRASIL;SDR/IP/33176;26/03/2026 09:51;DP/SDR /BA /NET/FO;E;;BAHIA/SERGIPE;DESPACHO (DP);DESPACHO (DP);Despacho (DP)
